Ð§¹û	ÊÇ·ñÇ°×º	ÎåÐÐÒªÇó	µÈ¼¶ÒªÇó	ÊôÐÔµ÷ÕûÀà±ð	²ÎÊý1×îÐ¡Öµ	²ÎÊý1×î´óÖµ	²ÎÊý2×îÐ¡Öµ	²ÎÊý2×î´óÖµ	²ÎÊý3×îÐ¡Öµ	²ÎÊý3×î´óÖµ	Ð§¹ûËµÃ÷
Gi¶m thêi gian ®ãng b¨ng 9				106	40	40	-1	-1	0	0	0
Néi lùc8				89	139	139	-1	-1	0	0	0
Th©n ph¸p 7				98	20	20	-1	-1	0	0	0
Phôc håi tr¹ng th¸i c«ng kÝch 6				113	40	40	-1	-1	0	0	0
Phôc håi Sinh lùc 6				88	5	5	-1	-1	0	0	0
Gi¶m cho¸ng 5				110	40	40	-1	-1	0	0	0
Sinh lùc 12				85	188	188	-1	-1	0	0	0
Sinh lùc 13				85	187	187	-1	-1	0	0	0
Néi lùc9				89	191	191	-1	-1	0	0	0
Sinh lùc 13				85	180	180	-1	-1	0	0	0
Néi lùc9				89	132	132	-1	-1	0	0	0
Tèc ®é ch¹y 9				111	40	40	-1	-1	0	0	0
Sinh lùc 14				85	200	200	-1	-1	0	0	0
Sinh khÝ 9				99	19	19	-1	-1	0	0	0
Kinh nghiÖm 1				176	15	25	-1	-1	0	0	0
Phßng thñ 8				114	8	12	-1	-1	0	0	0
