Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµş·Å	½Å±¾Ãû(²ÎÊı1)	¼¼ÄÜID£¨²ÎÊı1£©	²ÎÊı2(ÊÍ·¨ÀàĞÍ)	²ÎÊı3(ÊÇ·ñ¹ã²¥)	²ÎÊı4(ÊÇ·ñÓĞµÈ¼¶¸ÅÄî)	²ÎÊı5(ÊÇ·ñ¿É·Å¿ì½İÀ¸)
§å phæ Hoµng Kim - Tª Hoµng TuÖ T©m Khinh Sa Y	6	1	285	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Tª Hoµng Phong TuyÕt B¹ch V©n Thóc §¸i	6	1	286	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Tª Hoµng B¨ng Tung CÈm UyÓn	6	1	287	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Tª Hoµng Thóy Ngäc ChØ Hoµn	6	1	288	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Bİch H¶i Uyªn ¦¬ng Liªn Hoµn ®ao	6	1	289	\spr\item\script\item_huangjintupu.spr	38	1	1	CÇn cã:<color=yellow><enter>HuyÒn ThiÕt Kho¸ng (lo¹i t¨ng Sinh lùc)<enter>Thóy Yªn Song §ao<enter>Chu Sa Kho¸ng cÊp 8 trë lªn (lo¹i t¨ng Néi lùc)<enter>Phï Dung Th¹ch cÊp 8 trë lªn (lo¹i t¨ng B¨ng s¸t hÖ Néi c«ng)<enter>Vâ L©m MËt TŞch		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Bİch H¶i Hoµn Ch©u Vò Liªn	6	1	290	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Bİch H¶i Hång Linh Kim Ti §¸i	6	1	291	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Bİch H¶i Hång L¨ng Ba	6	1	292	\spr\item\script\item_huangjintupu.spr	38	1	1	CÇn cã:<color=yellow><enter>HuyÒn ThiÕt Kho¸ng cÊp 6 trë lªn (lo¹i t¨ng Sinh lùc)<enter>MËt Ng©n Kho¸ng cÊp 7 trë lªn (lo¹i t¨ng Néi lùc)<enter>Chung Nhò Th¹ch cÊp 6 trë lªn (lo¹i t¨ng phßng Háa)<enter>HuyÒn ThiÕt Kho¸ng cÊp 7 trë lªn (lo¹i t¨ng kh¶ n¨ng ph¶n ®ßn)<enter>MËt Ng©n Kho¸ng cÊp 7 trë lªn (lo¹i gi¶m thêi gian bŞ th­¬ng )<enter>Thóy Yªn Song §ao		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Bİch H¶i Khiªn TÕ ChØ Hoµn	6	1	293	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - U Lung Kim Xµ Ph¸t §¸i	6	1	294	\spr\item\script\item_huangjintupu.spr	38	1	1	CÇn cã:<color=yellow><enter>HuyÒn ThiÕt Kho¸ng (lo¹i t¨ng sinh lùc)<enter>Ngò §éc Ch­ëng Ph¸p. QuyÓn 1<enter>Chu Sa Kho¸ng cÊp 8 trë lªn (lo¹i t¨ng Néi lùc)<enter>Phï Dung Th¹ch cÊp 8 trë lªn (lo¹i t¨ng s¸t th­¬ng §éc hÖ Néi c«ng)<enter>Vâ L©m MËt TŞch		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - U Lung Xİch HiÕt MËt Trang	6	1	295	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - U Lung Thanh Ng« TriÒn Yªu	6	1	296	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - U Lung Ng©n ThiÒm Hé UyÓn	6	1	297	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - U Lung MÆc Thï NhuyÔn Lı 	6	1	298	\spr\item\script\item_huangjintupu.spr	38	1	1	CÇn cã:<color=yellow><enter>HuyÒn ThiÕt Kho¸ng cÊp 6 trë lªn (lo¹i t¨ng Sinh lùc)<enter>Phï Dung Th¹ch cÊp 7 trë lªn (lo¹i t¨ng ngo¹i c«ng)<enter>Phï Dung Th¹ch cÊp 7 trë lªn (lo¹i t¨ng phßng L«i)<enter>MËt Ng©n Kho¸ng cÊp 7 trë lªn (lo¹i t¨ng tèc ®é di chuyÓn)<enter>Ngò §éc Ch­ëng Ph¸p.QuyÓn 1		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Minh ¶o Tµ S¸t §éc NhËn	6	1	299	\spr\item\script\item_huangjintupu.spr	38	1	1	CÇn cã:<color=yellow><enter>Vâ L©m MËt TŞch<enter>MËt Ng©n Kho¸ng cÊp 7 trë lªn (lo¹i hót Néi lùc)<enter>Chu Sa Kho¸ng cÊp 7 trë lªn (lo¹i t¨ng ®éng tèc ®é xuÊt chiªu hÖ Ngo¹i c«ng)<enter>Khæng T­íc Th¹ch cÊp 8 trë lªn (lo¹i t¨ng s¸t th­¬ng VËt lı hÖ Ngo¹i c«ng)<enter>Phï Dung Th¹ch cÊp 7 trë lªn (lo¹i t¨ng B¨ng s¸t hÖ Ngo¹i c«ng)<enter>Ngò §éc §ao Ph¸p. QuyÓn 2		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Minh ¶o U Cæ ¸m Y	6	1	300	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Minh ¶o Thanh HiÕt ChØ Hoµn	6	1	301	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Minh ¶o Hñ Cèt Hé UyÓn	6	1	302	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Minh ¶o Song Hoµn Xµ Hµi	6	1	303	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Chó Ph­îc Ph¸ Gi¸p §Çu Hoµn	6	1	304	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Chó Ph­îc DiÖt L«i C¶nh Phï 	6	1	305	\spr\item\script\item_huangjintupu.spr	38	1	1	CÇn cã:<color=yellow><enter>HuyÒn ThiÕt Kho¸ng (lo¹i t¨ng Sinh lùc)<enter>Ngò §éc NhiÕp t©m thuËt. QuyÓn 3<enter>Chu Sa Kho¸ng cÊp 8 trë lªn (lo¹i t¨ng Néi lùc)<enter>Khæng T­íc Th¹ch cÊp 8 trë lªn (lo¹i t¨ng phßng §éc)<enter>Phï Dung Th¹ch cÊp 8 trë lªn (lo¹i t¨ng phßng thñ)<enter>Chu Sa Kho¸ng cÊp 7 trë lªn (lo¹i t¨ng tÊt c¶ kh¸ng tİnh) 		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Chó Ph­îc U ¶o ChØ Hoµn	6	1	306	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Chó Ph­îc Xuyªn T©m §éc UyÓn	6	1	307	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Chó Ph­îc B¨ng Háa §éc Cèt Ngoa	6	1	308	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - B¨ng Hµn §¬n ChØ Phi §ao	6	1	309	\spr\item\script\item_huangjintupu.spr	38	1	1	CÇn cã:<color=yellow><enter>HuyÒn ThiÕt Kho¸ng (lo¹i t¨ng Sinh lùc)<enter>MËt Ng©n Kho¸ng cÊp 7 trë lªn (lo¹i t¨ng s¸t th­¬ng vËt lı hÖ Ngo¹i c«ng)<enter>Chu Sa Kho¸ng cÊp 8 trë lªn (lo¹i t¨ng Néi lùc)<enter>HuyÒn ThiÕt Kho¸ng cÊp 8 trë lªn (lo¹i t¨ng ®éng t¸c xuÊt chiªu hÖ Ngo¹i c«ng)<enter>Phï Dung Th¹ch cÊp 7 trë lªn (lo¹i t¨ng s¸t th­¬ng vËt lı hÖ Ngo¹i c«ng)<enter>Vâ L©m MËt TŞch		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - B¨ng Hµn HuyÒn Y Thóc Gi¸p	6	1	310	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - B¨ng Hµn T©m TiÔn Yªu KhÊu	6	1	311	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - B¨ng Hµn HuyÒn Thiªn B¨ng Háa Béi	6	1	312	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - B¨ng Hµn NguyÖt ¶nh Ngoa	6	1	313	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Thiªn Quang Hoa Vò M¹n Thiªn	6	1	314	\spr\item\script\item_huangjintupu.spr	38	1	1	CÇn cã:<color=yellow><enter>HuyÒn ThiÕt Kho¸ng cÊp 8 trë lªn (lo¹i t¨ng Néi lùc)<enter>MËt Ng©n Kho¸ng cÊp 7 trë lªn (lo¹i t¨ng s¸t th­¬ng vËt lı hÖ Ngo¹i c«ng)<enter>Chu Sa Kho¸ng cÊp 8 trë lªn (lo¹i t¨ng Néi lùc)<enter>HuyÒn ThiÕt Kho¸ng cÊp 8 trë lªn (lo¹i t¨ng ®éng t¸c xuÊt chiªu hÖ Ngo¹i c«ng)<enter>Phï Dung Th¹ch cÊp 7 trë lªn (lo¹i t¨ng s¸t th­¬ng vËt lı hÖ Ngo¹i c«ng)<enter>Vâ L©m MËt TŞch		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Thiªn Quang §Şnh T©m Ng­ng ThÇn phï 	6	1	315	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Thiªn Quang S©m La Thóc Yªu	6	1	316	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Thiªn Quang Phong B¹o Hµn ThiÕt Tr¹c	6	1	317	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Thiªn Quang Thóc Thiªn Ph­îc §Şa Hoµn	6	1	318	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - S©m Hoang Phi Tinh §o¹t Hån	6	1	319	\spr\item\script\item_huangjintupu.spr	38	1	1	CÇn cã:<color=yellow><enter>HuyÒn ThiÕt Kho¸ng (lo¹i t¨ng Sinh lùc)<enter>MËt Ng©n Kho¸ng cÊp 7 trë lªn (lo¹i t¨ng s¸t th­¬ng vËt lı hÖ Ngo¹i c«ng)<enter>Chu Sa Kho¸ng cÊp 8 trë lªn (lo¹i t¨ng Néi lùc)<enter>HuyÒn ThiÕt Kho¸ng cÊp 8 trë lªn (lo¹i t¨ng ®éng t¸c xuÊt chiªu hÖ Ngo¹i c«ng)<enter>Phï Dung Th¹ch cÊp 7 trë lªn (lo¹i t¨ng s¸t th­¬ng vËt lı hÖ Ngo¹i c«ng)<enter>Vâ L©m MËt TŞch		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - S©m Hoang Kim TiÒn Liªn Hoµn Gi¸p	6	1	320	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - S©m Hoang Hån Gi¶o Yªu Thóc	6	1	321	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - S©m Hoang HuyÒn ThiÕt T­¬ng Ngäc Béi	6	1	322	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - S©m Hoang Tinh VÉn Phi Lı 	6	1	323	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - §Şa Ph¸ch Ngò Hµnh Liªn Hoµn Qu¸n	6	1	324	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - §Şa Ph¸ch H¾c DiÖm Xung Thiªn Liªn	6	1	325	\spr\item\script\item_huangjintupu.spr	38	1	1	CÇn cã:<color=yellow><enter>HuyÒn ThiÕt Kho¸ng cÊp 7 trë lªn (lo¹i t¨ng Sinh lùc)<enter>H·m TÜnh ThuËt. Lo¹n Hoµn Kİch<enter>Chu Sa Kho¸ng cÊp 8 trë lªn (lo¹i t¨ng Néi lùc)<enter>Vâ L©m MËt TŞch<enter>Phï Dung Th¹ch cÊp 8 trë lªn (lo¹i t¨ng Phßng thñ)<enter>Chu Sa Kho¸ng cÊp 7 trë lªn (lo¹i t¨ng tÊt c¶ kh¸ng tİnh) 		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - §Şa Ph¸ch Tİch LŞch L«i Háa Giíi	6	1	326	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - §Şa Ph¸ch KhÊu T©m Tr¹c	6	1	327	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - §Şa Ph¸ch §Şa Hµnh Thiªn Lı Ngoa	6	1	328	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - §ång Cõu Phi Long §Çu Hoµn	6	1	329	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - §ång Cõu Gi¸ng Long C¸i Y	6	1	330	\spr\item\script\item_huangjintupu.spr	38	1	1	CÇn cã:<color=yellow><enter>HuyÒn ThiÕt Kho¸ng cÊp 7 trë lªn (lo¹i t¨ng Sinh lùc)<enter>MËt Ng©n Kho¸ng cÊp 7 trë lªn (lo¹i t¨ng Néi lùc)<enter>Chung Nhò Th¹ch cÊp 6 trë lªn (lo¹i t¨ng ngo¹i c«ng)<enter>Khæng T­íc Th¹ch cÊp 8 trë lªn (lo¹i t¨ng Phßng thñ)<enter>MËt Ng©n Kho¸ng cÊp 7 trë lªn (lo¹i gi¶m thêi gian bŞ th­¬ng )<enter>C¸i Bang Ch­ëng Ph¸p		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - §ång Cõu TiÒm Long Yªu §¸i	6	1	331	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - §ång Cõu Kh¸ng Long Hé UyÓn	6	1	332	\spr\item\script\item_huangjintupu.spr	38	1	1	CÇn cã:<color=yellow><enter>HuyÒn ThiÕt Kho¸ng cÊp 7 trë lªn (lo¹i t¨ng Sinh lùc)<enter>C¸i Bang Ch­ëng Ph¸p<enter>Chu Sa Kho¸ng cÊp 8 trë lªn (lo¹i t¨ng Néi lùc)<enter>Phï Dung Th¹ch cÊp 8 trë lªn (lo¹i t¨ng Ho¶ s¸t hÖ Ngo¹i c«ng)<enter>Vâ L©m MËt TŞch		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - §ång Cõu KiÕn Long Ban ChØ 	6	1	333	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - §Şch Kh¸i Lôc Ngäc Tr­îng	6	1	334	\spr\item\script\item_huangjintupu.spr	38	1	1	CÇn cã:<color=yellow><enter>Vâ L©m MËt TŞch<enter>MËt Ng©n Kho¸ng cÊp 8 trë lªn (lo¹i hót Néi lùc)<enter>Chu Sa Kho¸ng cÊp 7 trë lªn (lo¹i t¨ng tèc ®é xuÊt chiªu hÖ ngo¹i c«ng)<enter>Khæng T­íc Th¹ch cÊp 8 trë lªn (lo¹i t¨ng s¸t th­¬ng VËt lı hÖ Ngo¹i c«ng)<enter>Phï Dung Th¹ch cÊp 8 trë lªn (lo¹i t¨ng B¨ng s¸t hÖ Ngo¹i c«ng)<enter>C¸i Bang C«n Ph¸p		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - §Şch Kh¸i Cöu §¹i C¸i Y	6	1	335	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - §Şch Kh¸i TriÒn M·ng Yªu §¸i	6	1	336	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - §Şch Kh¸i CÈu Tİch B× Hé UyÓn	6	1	337	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - §Şch Kh¸i Th¶o Gian Th¹ch Giíi	6	1	338	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Ma S¸t Quû Cèc U Minh Th­¬ng	6	1	339	\spr\item\script\item_huangjintupu.spr	38	1	1	CÇn cã:<color=yellow><enter>HuyÒn ThiÕt Kho¸ng cÊp 8 trë lªn (lo¹i t¨ng s¸t th­¬ng vËt lı hÖ Ngo¹i c«ng)<enter>MËt Ng©n Kho¸ng cÊp 7 trë lªn (lo¹i t¨ng c«ng kİch chİnh x¸c)<enter>Chu Sa Kho¸ng cÊp 6 trë lªn (lo¹i t¨ng tèc ®é xuÊt chiªu hÖ Ngo¹i c«ng)<enter>Khæng T­íc Th¹ch cÊp 7 trë lªn (lo¹i t¨ng s¸t th­¬ng VËt lı hÖ Ngo¹i c«ng)<enter>Phï Dung Th¹ch cÊp 7 trë lªn (lo¹i t¨ng B¨ng s¸t hÖ Ngo¹i c«ng)<enter>Vâ L©m MËt TŞch		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Ma S¸t Tµn D­¬ng ¸nh HuyÕt Gi¸p	6	1	340	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Ma S¸t Xİch Kı Táa Yªu KhÊu	6	1	341	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Ma S¸t Cö Háa LiÖu Thiªn UyÓn	6	1	342	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Ma S¸t V©n Long Thæ Ch©u Giíi	6	1	343	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Ma ThŞ LiÖt DiÖm Qu¸n MiÖn	6	1	344	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Ma ThŞ LÖ Ma PhÖ T©m Liªn	6	1	345	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Ma ThŞ NghiÖp Háa U Minh Giíi	6	1	346	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Ma ThŞ HuyÕt Ngäc ThÊt S¸t Béi	6	1	347	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Ma ThŞ s¬n  H¶i Phi Hång Lı 	6	1	348	\spr\item\script\item_huangjintupu.spr	38	1	1	CÇn cã:<color=yellow><enter>HuyÒn ThiÕt Kho¸ng cÊp 7 trë lªn (lo¹i t¨ng Sinh lùc)<enter>L­u Tinh. §ao ph¸p <enter>Chu Sa Kho¸ng cÊp 8 trë lªn (lo¹i t¨ng Néi lùc)<enter>HuyÒn ThiÕt Kho¸ng cÊp 8 trë lªn (t¨ng tèc ®é di chuyÓn)<enter>Phï Dung Th¹ch cÊp 8 trë lªn (lo¹i t¨ng phßng B¨ng)<enter>Vâ L©m MËt TŞch		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Ma Hoµng Kim Gi¸p Kh«i	6	1	349	\spr\item\script\item_huangjintupu.spr	38	1	1	CÇn cã:<color=yellow><enter>HuyÒn ThiÕt Kho¸ng cÊp 7 trë lªn (lo¹i t¨ng Sinh lùc)<enter>NhiÕp Hån. Tr­íc Chó <enter>Chu Sa Kho¸ng cÊp 8 trë lªn (lo¹i t¨ng Néi lùc)<enter>Vâ L©m MËt TŞch<enter>Phï Dung Th¹ch cÊp 8 trë lªn (lo¹i t¨ng phßng B¨ng) 		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Ma Hoµng ¸n XuÊt Hæ H¹ng Khuyªn	6	1	350	\spr\item\script\item_huangjintupu.spr	38	1	1	CÇn cã:<color=yellow><enter>HuyÒn ThiÕt Kho¸ng (lo¹i t¨ng Sinh lùc)<enter>Vâ L©m MËt TŞch<enter>Phï Dung Th¹ch cÊp 7 trë lªn (lo¹i t¨ng phßng L«i)<enter>Khæng T­íc Th¹ch cÊp 8 trë lªn (lo¹i t¨ng ngo¹i c«ng)<enter>Phï Dung Th¹ch cÊp 7 trë lªn (lo¹i t¨ng phßng thñ)<enter>Chu Sa Kho¸ng cÊp 6 trë lªn (lo¹i t¨ng tÊt c¶ kh¸ng tİnh) 		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Ma Hoµng Khª Cèc Thóc Yªu §¸i	6	1	351	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Ma Hoµng HuyÕt Y Thó Tr¹c	6	1	352	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - Ma Hoµng §¨ng §¹p Ngoa	6	1	353	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - L¨ng Nh¹c Th¸i Cùc Qu¸n	6	1	354	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - L¨ng Nh¹c V« Ng· §¹o Bµo	6	1	355	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - L¨ng Nh¹c Né L«i Thóc Yªu	6	1	356	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - L¨ng Nh¹c V« Cùc HuyÒn Ngäc Béi	6	1	357	\spr\item\script\item_huangjintupu.spr	38	1	1	CÇn cã:<color=yellow><enter>HuyÒn ThiÕt Kho¸ng cÊp 7 trë lªn (lo¹i t¨ng Sinh lùc)<enter>Th¸i Cùc QuyÒn Phæ. QuyÓn 3<enter>Chu Sa Kho¸ng cÊp 8 trë lªn (lo¹i t¨ng Néi lùc)<enter>Vâ L©m MËt TŞch<enter>Phï Dung Th¹ch cÊp 8 trë lªn (lo¹i t¨ng phßng §éc) 		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - L¨ng Nh¹c Thiªn §Şa HuyÒn Hoµng giíi	6	1	358	\spr\item\script\item_huangjintupu.spr	38	1	1	.		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
§å phæ Hoµng Kim - CËp Phong Ch©n Vò KiÕm	6	1	359	\spr\item\script\item_huangjintupu.spr	38	1	1	CÇn cã:<color=yellow><enter>HuyÒn ThiÕt Kho¸ng cÊp 8 trë lªn (lo¹i t¨ng s¸t th­¬ng vËt lı hÖ Ngo¹i c«ng)<enter>MËt Ng©n Kho¸ng cÊp 8 trë lªn (lo¹i t¨ng c«ng kİch chİnh x¸c)<enter>Chu Sa Kho¸ng cÊp 7 trë lªn (lo¹i t¨ng tèc ®é xuÊt chiªu hÖ ngo¹i c«ng)<enter>Khæng T­íc Th¹ch cÊp 8 trë lªn (lo¹i t¨ng s¸t th­¬ng VËt lı hÖ Ngo¹i c«ng)<enter>Phï Dung Th¹ch cÊp 8 trë lªn (lo¹i t¨ng B¨ng s¸t hÖ Ngo¹i c«ng)<enter>Vâ L©m MËt TŞch		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
